id,age,steps
125,41,17545
170,38,27851
193,49,16507
291,37,24488
315,46,10468
412,44,16895
480,32,15574
689,49,18892
704,67,14127
967,53,24145
992,72,8829
1095,50,15676
1252,55,14602
1335,50,9444
1467,72,-1
1527,59,8086
1545,36,18504
1567,68,19049
1666,59,18463
1797,56,17193
1849,73,10113
2000,56,15299
2349,56,23411
2373,38,18557
2481,59,13144
2521,55,13061
2588,80,8746
2652,51,14076
2754,51,14893
2762,56,17658
2785,48,19551
2792,36,21223
2861,59,14528
2866,64,10573
2971,65,15277
2986,37,17391
3188,37,19173
3317,17,19118
3414,44,15006
3425,48,17827
3491,37,23422
3566,58,16042
3730,27,9441
3772,58,16220
3820,47,17580
3855,50,16731
3875,41,13599
3890,51,19691
4001,34,15807
4072,35,19267
4113,41,19426
4155,43,23632
4250,39,22929
4276,32,15025
4344,39,15082
4399,49,17348
4456,36,17665
4542,43,13487
4605,36,19778
4696,55,7372
4726,56,18805
4776,63,14618
4953,54,20758
5037,34,18815
5042,75,16765
5044,54,18166
5071,55,12522
5277,44,20103
5459,50,19329
5638,55,23214
5655,35,18449
5727,38,27912
5748,37,14795
6092,39,19830
6092,54,15519
6164,39,19664
6429,41,24689
6484,50,17017
6593,35,22377
6661,29,22219
6697,73,12181
6804,70,13886
6822,32,24833
6877,29,16611
7046,45,-1
7194,44,18345
7289,61,16490
7319,48,14452
7331,47,20171
7367,56,16677
7546,25,19480
7608,58,14304
7616,54,16680
7648,45,-1
7657,58,11488
7704,53,15619
7736,51,18507
7771,52,15423
7841,61,27016
7854,54,18869
7913,37,24669
7950,57,11277
7975,71,11048
8003,34,17019
8167,54,12083
8204,46,14987
8208,38,23053
8209,35,11736
8331,24,17384
8427,49,20344
8527,49,20814
8757,64,17291
8898,40,11389
9015,47,11396
9016,43,13818
9100,52,19404
9228,48,16112
9294,58,24830
9299,42,9029
9335,77,10018
9354,34,14609
9793,59,14974
9954,63,16832
9961,52,14888
10043,39,15009
10126,44,14193
10143,48,16447
10172,35,19565
10204,67,22663
10208,73,16286
10383,68,11391
10423,49,13568
10680,33,26064
10761,47,15109
10762,48,15346
10819,48,13763
10852,67,15393
10863,37,9578
10894,73,16696
10986,45,19844
11046,64,15388
11081,43,17287
11173,34,21234
11438,38,23482
11582,64,12504
11636,63,18182
11680,55,19586
11705,65,9816
11787,71,13092
11813,54,-1
11837,52,-1
