Timestamp,What year (in school) are you?,What is your major?,How old are you?,What is your gender?,What is your height?,What is your weight?,What is your eye color?,Were you born in California?,What is your favorite flavor of ice cream?

1/9/2018 14:49:40,4,Cognitive Science,21,Male,"5'8""",147,Brown,Yes,Vanilla

1/9/2018 14:49:45,3,Cognitive Science,20,Male,5'8,150,Brown,Yes,Cookies and Cream

1/9/2018 14:49:45,Third,Computer Science,21,Male,178cm,74kg,Black,Yes,Matcha

1/9/2018 14:49:45,2,Cogs HCI,20,Male,5’8,133,Brown,Yes,Cookies and Cream

1/9/2018 14:49:47,3,Computer Science,20,Male,"5'8""",160,Brown,Yes,Cookies n' Cream

1/9/2018 14:49:48,3rd,Cognitive Science w/ a specialization in Computation,20,Male,"5'11""",150,Brown,Yes,Chocolate

1/9/2018 14:49:48,4,International Studies,21,Male,5'9,160,Brown,Yes,Vanilla

1/9/2018 14:49:50,3rd year,Computer Science,20,Female,"5 ft, 3 in",106 lb,Brown,Yes,Mint chocolate chip

1/9/2018 14:49:50,5th,Computer Engineering,23,Male,5'10,155,Brown,No,Chocolate

1/9/2018 14:49:50,3,Cognitive Science,20,Male,180 cm,170 pounds,brown,Yes,mint

1/9/2018 14:49:50,2,Computer Science,19,Male,5’8,170,Brown,No,Cookie dough

1/9/2018 14:49:51,Second,Cognitive Science,19,Female,"5'3""",135,Hazel,No,Chocolate 

1/9/2018 14:49:51,3,computer science,20,male,"5'9""",115,brown,Yes,cookies and cream

1/9/2018 14:49:52,2,Computer Science,19,Female,"5'2""",110,Brown,Yes,Vanilla

1/9/2018 14:49:52,4th Year,Computer Science,22,Male,5ft 5inches,167 lbs,brown,Yes,vanilla

1/9/2018 14:49:52,2,Computer Science,20,Female,158cm,60kg,black,No,Chocolate

1/9/2018 14:49:52,5,Chemical Engineering / Literature Writing,22,M,"5'8""",155,Brown,No,Sweet cream

1/9/2018 14:49:54,Senior,Computer Science,26,Male,"5'7""",136,Brown,No,Cookie & Cream

